Symbol,Year,Percentage of Recurrence,Trapping Time,Laminarity,Recurrence Rate,Divergence,Max Vertical Length,Entropy of Vertical Structures,Mean Recurrence Time,Recurrence Time Entropy,Num Most Probable Recurrence Time
BTC-USD,2014,3431.107448470597,106,0.009433962264150943,0.003053945214482062,0.009433962264150943,9925.938598632812,37.03207616723844,34.31107448470597,37.03207616723844,0
BTC-USD,2015,5839.122795541642,365,0.0027397260273972603,0.0004382936104261726,0.0027397260273972603,70396.68634033203,99.56067613774955,58.39122795541641,99.56067613774955,348
BTC-USD,2016,15616.514412438175,366,0.00273224043715847,0.0011658030243319156,0.00273224043715847,149118.87258911133,127.6070094143351,156.16514412438178,127.6070094143351,362
BTC-USD,2017,381443.30392113025,365,0.0027397260273972603,0.028631725809248353,0.0027397260273972603,5654348.868103027,-9532.144620804767,3814.4330392113025,-9532.144620804767,349
BTC-USD,2018,256302.31009643577,365,0.0027397260273972603,0.01923844878523658,0.0027397260273972603,3633465.8845214844,-5261.430666116029,2563.023100964358,-5261.430666116029,5
BTC-USD,2019,300889.2147733803,365,0.0027397260273972603,0.02258521098100795,0.0027397260273972603,2051659.5847167969,-6420.773817233138,3008.8921477338035,-6420.773817233138,176
BTC-USD,2020,420804.9192458718,366,0.00273224043715847,0.03141390162710401,0.00273224043715847,6546035.3955078125,-10860.057350248211,4208.049192458718,-10860.057350248211,365
BTC-USD,2021,1124551.7696741885,365,0.0027397260273972603,0.08441059941708615,0.0027397260273972603,7347412.078125,-38850.699200144874,11245.517696741885,-38850.699200144874,311
BTC-USD,2022,1129828.1044667151,365,0.0027397260273972603,0.08480664928741932,0.0027397260273972603,7113506.31640625,-39041.45760230575,11298.28104466715,-39041.45760230575,0
BTC-USD,2023,627345.0959607806,365,0.0027397260273972603,0.04708949558343697,0.0027397260273972603,5587110.958984375,-18440.23895965345,6273.450959607806,-18440.23895965345,341
ETH-USD,2017,19215.831615628616,53,0.018867924528301886,0.06843244877360619,0.018867924528301886,15621.024841308594,-251.9584519634791,192.15831615628616,-251.9584519634791,40
